,side,position,grade,first_move,second_move,third_move
0,1,3,3,L,F,R
1,1,3,3,B,L,B'
2,1,3,3,L',B,R'
3,1,3,3,B',R,B
4,1,6,3,L,F',L'
5,1,6,3,B,L',F
6,1,6,3,L',B',L
7,1,6,3,B',R',F'
8,1,8,1,U2,,
9,1,9,2,B,L,
10,1,11,2,B,L2,
11,1,11,2,B',U2,
12,1,11,2,U2,F',
13,1,11,2,L2,F,
14,1,12,1,L,,
15,1,14,2,L,F,
16,1,15,2,B',R',
17,1,17,1,B',,
18,1,24,1,B,,
19,1,26,2,B,L',
20,1,27,2,L,F',
21,1,29,2,L,F2,
22,1,29,2,L',D2,
23,1,29,2,U2,R',
24,1,29,2,B2,R,
25,1,30,2,B,D2,
26,1,30,2,B',R2,
27,1,30,2,U2,F,
28,1,30,2,L2,F',
29,1,32,2,B',R,
30,1,33,1,L2,,
31,1,35,3,L,F,R'
32,1,35,3,B,L',F'
33,1,35,3,L',B,R
34,1,35,3,B',R',F
35,1,38,3,L,F',L
36,1,38,3,B,L,B
37,1,38,3,L',B',L'
38,1,38,3,B',R,B'
39,1,40,1,B2,,
40,1,41,1,L',,
41,1,43,2,L',B,
42,1,46,2,L',B',
43,1,48,2,L,U2,
44,1,48,2,L',B2,
45,1,48,2,U2,R,
46,1,48,2,B2,R',
47,2,7,1,U2,,
48,2,10,2,B,L,
49,2,16,2,B',R',
50,2,18,1,B,,
51,2,19,2,B,L2,
52,2,19,2,U2,F',
53,2,22,2,B',R2,
54,2,22,2,U2,F,
55,2,23,1,B',,
56,2,25,2,B,L',
57,2,31,2,B',R,
58,2,34,2,U2,F2,
59,2,34,2,B2,D2,
60,2,39,1,B2,,
61,3,1,3,R,B',L
62,3,1,3,B,L',B'
63,3,1,3,R',F',L'
64,3,1,3,B',R',B
65,3,6,1,U2,,
66,3,8,3,R,B,R'
67,3,8,3,B,L,F
68,3,8,3,R',F,R
69,3,8,3,B',R,F'
70,3,9,1,B,,
71,3,11,2,B,L,
72,3,12,2,R',F',
73,3,14,1,R',,
74,3,15,2,B,U2,
75,3,15,2,B',R2,
76,3,15,2,U2,F,
77,3,15,2,R2,F',
78,3,17,2,B',R',
79,3,24,2,B,L',
80,3,26,2,B,L2,
81,3,26,2,B',D2,
82,3,26,2,U2,F',
83,3,26,2,R2,F,
84,3,27,2,R',F2,
