,side,position,grade,first_move,second_move,third_move
0,1,8,1,U2,,
1,1,33,1,L2,,
2,1,40,1,B2,,
3,2,7,1,U2,,
4,2,34,2,U2,F2,
5,2,34,2,B2,D2,
6,2,39,1,B2,,
7,3,6,1,U2,,
8,3,35,1,R2,,
9,3,38,1,B2,,
10,4,5,1,U2,,
11,4,36,1,L2,,
12,4,37,2,U2,R2,
13,4,37,2,L2,D2,
14,5,4,1,U2,,
15,5,36,2,U2,L2,
16,5,36,2,R2,D2,
17,5,37,1,R2,,
18,6,3,1,U2,,
19,6,35,1,F2,,
20,6,38,1,L2,,
21,7,2,1,U2,,
22,7,34,1,F2,,
23,7,39,2,U2,B2,
24,7,39,2,F2,D2,
25,8,1,1,U2,,
26,8,33,1,F2,,
27,8,40,1,R2,,
28,9,15,1,U2,,
29,9,26,1,L2,,
30,9,32,1,B2,,
31,10,16,1,U2,,
32,10,25,1,L2,,
33,10,31,2,U2,R2,
34,10,31,2,L2,D2,
35,11,17,1,U2,,
36,11,24,1,L2,,
37,11,30,1,F2,,
38,12,14,3,U2,D2,F2
39,12,27,2,U2,D2,
40,12,29,1,F2,,
41,12,41,1,L2,,
42,12,43,4,U2,D2,F2
43,12,43,4,U2,D2,L2
44,12,46,3,U2,D2,L2
45,12,48,1,U2,,
46,13,28,1,F2,,
47,13,42,2,U2,B2,
48,13,42,2,F2,D2,
49,13,47,1,U2,,
50,14,12,3,F2,D2,U2
51,14,27,1,F2,,
52,14,29,3,F2,D2,R2
53,14,41,3,F2,D2,B2
54,14,43,1,R2,,
55,14,46,1,U2,,
56,14,48,2,F2,D2,
57,15,9,1,U2,,
58,15,26,1,F2,,
59,15,32,1,R2,,
60,16,10,1,U2,,
61,16,25,2,U2,L2,
62,16,25,2,R2,D2,
63,16,31,1,R2,,
64,17,11,1,U2,,
65,17,24,1,B2,,
66,17,30,1,R2,,
67,18,19,1,L2,,
68,18,22,2,L2,F2,
69,18,22,2,B2,R2,
70,18,23,1,B2,,
71,19,18,1,L2,,
72,19,22,1,F2,,
73,19,23,2,F2,R2,
74,19,23,2,L2,B2,
75,20,21,1,F2,,
76,20,44,1,L2,,
77,20,45,2,F2,R2,
78,20,45,2,L2,B2,
79,21,20,1,F2,,
80,21,44,2,R2,B2,
81,21,44,2,F2,L2,
82,21,45,1,R2,,
83,22,18,2,R2,B2,
84,22,18,2,F2,L2,
85,22,19,1,F2,,
86,22,23,1,R2,,
87,23,18,1,B2,,
88,23,19,2,R2,F2,
89,23,19,2,B2,L2,
90,23,22,1,R2,,
91,24,11,1,L2,,
92,24,17,1,B2,,
93,24,30,1,D2,,
94,25,10,1,L2,,
95,25,16,2,D2,R2,
96,25,16,2,L2,U2,
97,25,31,1,D2,,
98,26,9,1,L2,,
99,26,15,1,F2,,
100,26,32,1,D2,,
101,27,12,2,D2,U2,
102,27,14,1,F2,,
103,27,29,2,D2,R2,
104,27,41,2,D2,B2,
105,27,43,2,F2,R2,
106,27,43,2,L2,B2,
107,27,46,1,L2,,
108,27,48,1,D2,,
109,28,13,1,F2,,
110,28,42,1,D2,,
111,28,47,2,F2,U2,
112,28,47,2,D2,B2,
113,29,12,1,F2,,
114,29,14,3,R2,D2,F2
115,29,27,2,R2,D2,
116,29,41,1,D2,,
117,29,43,4,R2,D2,F2
118,29,43,4,R2,D2,L2
119,29,46,3,R2,D2,L2
120,29,48,1,R2,,
121,30,11,1,F2,,
122,30,17,1,R2,,
123,30,24,1,D2,,
124,31,10,2,R2,U2,
125,31,10,2,D2,L2,
126,31,16,1,R2,,
127,31,25,1,D2,,
128,32,9,1,B2,,
129,32,15,1,R2,,
130,32,26,1,D2,,
131,33,1,1,L2,,
132,33,8,1,F2,,
133,33,40,1,D2,,
134,34,2,2,F2,U2,
135,34,2,2,D2,B2,
136,34,7,1,F2,,
137,34,39,1,D2,,
138,35,3,1,R2,,
139,35,6,1,F2,,
140,35,38,1,D2,,
141,36,4,1,L2,,
142,36,5,2,D2,R2,
143,36,5,2,L2,U2,
144,36,37,1,D2,,
145,37,4,2,R2,U2,
146,37,4,2,D2,L2,
147,37,5,1,R2,,
148,37,36,1,D2,,
149,38,3,1,B2,,
150,38,6,1,L2,,
151,38,35,1,D2,,
152,39,2,1,B2,,
153,39,7,2,D2,F2,
154,39,7,2,B2,U2,
155,39,34,1,D2,,
156,40,1,1,B2,,
157,40,8,1,R2,,
158,40,33,1,D2,,
159,41,12,1,L2,,
160,41,14,3,B2,D2,F2
161,41,27,2,B2,D2,
162,41,29,1,D2,,
163,41,43,4,B2,D2,F2
164,41,43,4,B2,D2,L2
165,41,46,3,B2,D2,L2
166,41,48,1,B2,,
167,42,13,2,D2,F2,
168,42,13,2,B2,U2,
169,42,28,1,D2,,
170,42,47,1,B2,,
171,43,12,4,R2,F2,D2
172,43,12,4,B2,L2,D2
173,43,14,1,R2,,
174,43,27,2,R2,F2,
175,43,27,2,B2,L2,
176,43,29,4,R2,F2,D2
177,43,29,4,B2,L2,D2
178,43,41,4,R2,F2,D2
179,43,41,4,B2,L2,D2
180,43,46,1,B2,,
181,43,48,3,R2,F2,D2
182,43,48,3,B2,L2,D2
183,44,20,1,L2,,
184,44,21,2,L2,F2,
185,44,21,2,B2,R2,
186,44,45,1,B2,,
187,45,20,2,R2,F2,
188,45,20,2,B2,L2,
189,45,21,1,R2,,
190,45,44,1,B2,,
191,46,12,3,L2,D2,U2
192,46,14,1,U2,,
193,46,27,1,L2,,
194,46,29,3,L2,D2,R2
195,46,41,3,L2,D2,B2
196,46,43,1,B2,,
197,46,48,2,L2,D2,
198,47,13,1,U2,,
199,47,28,2,U2,F2,
200,47,28,2,B2,D2,
201,47,42,1,B2,,
202,48,12,1,U2,,
203,48,14,2,D2,F2,
204,48,27,1,D2,,
205,48,29,1,R2,,
206,48,41,1,B2,,
207,48,43,3,D2,F2,R2
208,48,43,3,D2,L2,B2
209,48,46,2,D2,L2,
