,side,position,grade,first_move,second_move,third_move
0,1,3,1,U,,
1,1,6,1,U',,
2,1,8,1,U2,,
3,1,33,1,L2,,
4,1,35,2,U,R2,
5,1,35,2,U',F2,
6,1,35,2,L2,D,
7,1,35,2,B2,D',
8,1,38,2,U,B2,
9,1,38,2,U',L2,
10,1,38,2,L2,D',
11,1,38,2,B2,D,
12,1,40,1,B2,,
13,2,4,1,U',,
14,2,5,1,U,,
15,2,7,1,U2,,
16,2,34,2,U2,F2,
17,2,34,2,B2,D2,
18,2,36,2,U',L2,
19,2,36,2,B2,D,
20,2,37,2,U,R2,
21,2,37,2,B2,D',
22,2,39,1,B2,,
23,3,1,1,U',,
24,3,6,1,U2,,
25,3,8,1,U,,
26,3,33,2,U,F2,
27,3,33,2,U',L2,
28,3,33,2,R2,D',
29,3,33,2,B2,D,
30,3,35,1,R2,,
31,3,38,1,B2,,
32,3,40,2,U,R2,
33,3,40,2,U',B2,
34,3,40,2,R2,D,
35,3,40,2,B2,D',
36,4,2,1,U,,
37,4,5,1,U2,,
38,4,7,1,U',,
39,4,34,2,U',F2,
40,4,34,2,L2,D,
41,4,36,1,L2,,
42,4,37,2,U2,R2,
43,4,37,2,L2,D2,
44,4,39,2,U,B2,
45,4,39,2,L2,D',
46,5,2,1,U',,
47,5,4,1,U2,,
48,5,7,1,U,,
49,5,34,2,U,F2,
50,5,34,2,R2,D',
51,5,36,2,U2,L2,
52,5,36,2,R2,D2,
53,5,37,1,R2,,
54,5,39,2,U',B2,
55,5,39,2,R2,D,
56,6,1,1,U,,
57,6,3,1,U2,,
58,6,8,1,U',,
59,6,33,2,U,L2,
60,6,33,2,U',F2,
61,6,33,2,F2,D',
62,6,33,2,L2,D,
63,6,35,1,F2,,
64,6,38,1,L2,,
65,6,40,2,U,B2,
66,6,40,2,U',R2,
67,6,40,2,F2,D,
68,6,40,2,L2,D',
69,7,2,1,U2,,
70,7,4,1,U,,
71,7,5,1,U',,
72,7,34,1,F2,,
73,7,36,2,U,L2,
74,7,36,2,F2,D',
75,7,37,2,U',R2,
76,7,37,2,F2,D,
77,7,39,2,U2,B2,
78,7,39,2,F2,D2,
79,8,1,1,U2,,
80,8,3,1,U',,
81,8,6,1,U,,
82,8,33,1,F2,,
83,8,35,2,U,F2,
84,8,35,2,U',R2,
85,8,35,2,R2,D',
86,8,35,2,F2,D,
87,8,38,2,U,L2,
88,8,38,2,U',B2,
89,8,38,2,R2,D,
90,8,38,2,F2,D',
91,8,40,1,R2,,
92,9,11,3,U,D,L2
93,9,11,3,U,D',F2
94,9,12,1,U',,
95,9,14,3,U,D2,F2
96,9,15,1,U2,,
97,9,17,3,U,D,B2
98,9,17,3,U,D',R2
99,9,24,2,U,D,
100,9,26,1,L2,,
101,9,27,2,U,D2,
102,9,29,2,U,R2,
103,9,29,2,U',F2,
104,9,29,2,L2,D,
105,9,29,2,B2,D',
106,9,30,2,U,D',
107,9,32,1,B2,,
108,9,41,2,U,B2,
109,9,41,2,U',L2,
110,9,41,2,L2,D',
111,9,41,2,B2,D,
112,9,43,4,U,D2,F2
113,9,43,4,U,D2,L2
114,9,46,3,U,D2,L2
115,9,48,1,U,,
116,10,13,1,U',,
117,10,16,1,U2,,
118,10,25,1,L2,,
119,10,28,2,U',F2,
120,10,28,2,L2,D,
121,10,31,2,U2,R2,
122,10,31,2,L2,D2,
123,10,42,2,U,B2,
124,10,42,2,L2,D',
125,10,47,1,U,,
126,11,9,3,F2,D,U'
127,11,9,3,L2,D',U'
128,11,12,3,F2,D,U2
129,11,12,3,L2,D',U2
130,11,14,1,U',,
131,11,15,3,F2,D,U
132,11,15,3,L2,D',U
133,11,17,1,U2,,
134,11,24,1,L2,,
135,11,26,4,F2,D,U
136,11,26,4,F2,D,U'
137,11,26,4,F2,D,R2
138,11,26,4,F2,D,B2
139,11,26,4,L2,D',U
140,11,26,4,L2,D',U'
141,11,26,4,L2,D',R2
142,11,26,4,L2,D',B2
143,11,27,2,U,L2,
144,11,27,2,U',F2,
145,11,27,2,F2,D',
146,11,27,2,L2,D,
147,11,29,3,F2,D,R2
148,11,29,3,L2,D',R2
149,11,30,1,F2,,
150,11,32,4,F2,D,U
151,11,32,4,F2,D,U'
152,11,32,4,F2,D,R2
153,11,32,4,F2,D,B2
154,11,32,4,L2,D',U
155,11,32,4,L2,D',U'
156,11,32,4,L2,D',R2
157,11,32,4,L2,D',B2
158,11,41,3,F2,D,B2
159,11,41,3,L2,D',B2
160,11,43,2,U,B2,
161,11,43,2,U',R2,
162,11,46,1,U,,
163,11,48,2,F2,D,
164,11,48,2,L2,D',
165,12,9,1,U,,
166,12,11,3,U2,D,L2
167,12,11,3,U2,D',F2
168,12,14,3,U2,D2,F2
169,12,15,1,U',,
170,12,17,3,U2,D,B2
171,12,17,3,U2,D',R2
172,12,24,2,U2,D,
173,12,26,2,U,L2,
174,12,26,2,U',F2,
175,12,26,2,F2,D',
176,12,26,2,L2,D,
177,12,27,2,U2,D2,
178,12,29,1,F2,,
179,12,30,2,U2,D',
180,12,32,2,U,B2,
181,12,32,2,U',R2,
182,12,32,2,F2,D,
183,12,32,2,L2,D',
184,12,41,1,L2,,
185,12,43,4,U2,D2,F2
186,12,43,4,U2,D2,L2
187,12,46,3,U2,D2,L2
188,12,48,1,U2,,
189,13,10,1,U,,
190,13,16,1,U',,
191,13,25,2,U,L2,
192,13,25,2,F2,D',
193,13,28,1,F2,,
